Annee,Lieux,Nom,Prénom,Sexe,Pays,Sport,Épreuve,Collectif,Force,Endurance,Agilite
2032,Australie,Shibata,Ren,M,France,Escrime,Escrime,false,1,6,1
2028,Etats-Unis,Liu,Ma,F,Japon,HandBall,HandBall,false,1,20,11
2032,Australie,Zhou,Yan,F,Kenya,Escrime,Escrime,false,11,12,2
2028,Etats-Unis,Sakamoto,Kazuki,F,Maroc,Handball,Handball,true,11,11,6
2028,Etats-Unis,Hayashi,Shiori,M,Brésil,Escrime,Escrime,false,9,8,6
2024,France,Schmitz,Elias,F,Allemagne,Handball,Handball,true,7,20,12
2028,Etats-Unis,Hayashi,Yuto,M,Maroc,Escrime,Escrime,false,13,9,1
2024,France,Wolf,Tim,M,Brésil,Handball,Handball,true,15,8,15
2028,Etats-Unis,Thomas,Camille,M,Allemagne,Handball,Handball,true,3,9,2
2032,Australie,Krause,Emily,F,Maroc,Athletisme,Athletisme,false,9,15,6
2032,Australie,Ishii,Yui,M,Allemagne,generic,generic,false,17,19,13
2028,Etats-Unis,Robin,Anna,F,Brésil,Natation,ralais libre,false,8,17,6
2024,France,Hu,Hong,M,France,Athletisme,Athletisme,false,3,20,10
2028,Etats-Unis,Wu,Wang,M,Turquie,Natation,ralais libre,false,3,8,12
2028,Etats-Unis,Hayashi,Riku,F,Allemagne,generic,generic,false,12,11,14
2028,Etats-Unis,Watanabe,Sora,F,USA,HandBall,HandBall,false,19,5,8
2024,France,Blanc,Maëlys,F,Allemagne,Natation,ralais libre,false,17,16,20
2028,Etats-Unis,Xu,Jun,M,Allemagne,Athletisme,Athletisme,false,1,16,3
2028,Etats-Unis,Hu,Guo,F,USA,Athletisme,Athletisme,false,20,7,6
2024,France,Wu,Chen,F,Maroc,Natation,100 brasse,false,11,10,11
2028,Etats-Unis,Lefevre,Louise,F,France,Natation,100 brasse,false,7,16,19
2032,Australie,Robert,Tom,M,Brésil,Athletisme,Athletisme,false,7,9,17
2032,Australie,Sasaki,Yuna,M,USA,Escrime,Escrime,false,4,1,4
2028,Etats-Unis,Roux,Paul,F,Turquie,generic,generic,false,12,1,10
2024,France,Lin,Fang,F,Australie,Natation,ralais libre,false,17,15,20
2032,Australie,Zhou,Yang,M,Japon,Escrime,Escrime,false,13,15,10
2028,Etats-Unis,Zimmermann,Marie,F,Kenya,Handball,Handball,true,1,15,4
2024,France,Sasaki,Kokoro,M,Japon,generic,generic,false,14,3,16
2024,France,Ishikawa,Daiki,F,Allemagne,Handball,Handball,true,5,8,8
2024,France,Guo,Wang,M,Chine,HandBall,HandBall,false,6,1,7
2028,Etats-Unis,Chen,Lan,M,Chine,Natation,100 brasse,false,20,11,20
2028,Etats-Unis,Saito,Ryota,M,Allemagne,Athletisme,Athletisme,false,7,17,3
2024,France,Nakamura,Rina,M,France,Escrime,Escrime,false,8,18,11
2024,France,Shibata,Rina,F,Chine,Escrime,Escrime,false,17,17,11
2024,France,Guerin,Maëlys,F,France,Athletisme,Athletisme,false,5,6,6
2024,France,Hu,Hui,F,Turquie,Athletisme,Athletisme,false,4,4,20
2032,Australie,Nakamura,Takeshi,M,Australie,Athletisme,Athletisme,false,4,20,3
2032,Australie,Dupont,Tom,M,Kenya,Athletisme,Athletisme,false,9,12,13
2032,Australie,Durand,Clara,M,Japon,Natation,100 brasse,false,5,20,2
2032,Australie,Durand,Manon,F,Chine,Escrime,Escrime,false,4,18,4
2032,Australie,Wu,Xiang,M,Turquie,Natation,ralais libre,false,8,12,7
2032,Australie,Huang,Hong,F,France,Escrime,Escrime,false,11,16,14
2028,Etats-Unis,Huang,Wang,M,Maroc,Handball,Handball,true,20,20,7
2032,Australie,Suzuki,Saki,M,Kenya,Handball,Handball,true,8,12,8
2024,France,Werner,David,M,Kenya,Escrime,Escrime,false,6,13,19
2024,France,Matsumoto,Aoi,F,Allemagne,Natation,ralais libre,false,2,19,13
2028,Etats-Unis,Li,Zhu,M,Chine,HandBall,HandBall,false,5,11,19
2032,Australie,Richard,Noé,M,Japon,HandBall,HandBall,false,18,9,11
2024,France,Moreau,Emma,F,France,Athletisme,Athletisme,false,16,8,6
2028,Etats-Unis,Schmid,Julian,M,Maroc,Natation,100 brasse,false,2,18,16
2028,Etats-Unis,Saito,Kazuki,M,Maroc,generic,generic,false,4,15,7
2024,France,Suzuki,Aoi,M,Chine,generic,generic,false,15,3,16
2024,France,Guerin,Jade,M,Australie,HandBall,HandBall,false,7,5,7
2032,Australie,Xu,Yiming,M,Kenya,Natation,100 brasse,false,1,7,5
2024,France,Zimmermann,Lea,M,Allemagne,Escrime,Escrime,false,10,1,12
2032,Australie,Barbier,Juliette,F,USA,HandBall,HandBall,false,6,18,16
2024,France,Sasaki,Sosuke,M,USA,Natation,100 brasse,false,10,9,1
2024,France,Huang,Wang,M,Maroc,Natation,100 brasse,false,1,6,3
2024,France,Wang,Chen,M,Japon,Natation,ralais libre,false,14,11,20
2028,Etats-Unis,Hu,Xin,M,Chine,Escrime,Escrime,false,18,3,10
2032,Australie,Muller,Lucas,F,Australie,Athletisme,Athletisme,false,1,7,16
2032,Australie,Lefebvre,Raphaël,M,USA,Natation,100 brasse,false,9,14,18
2028,Etats-Unis,Zhao,Xue,M,Allemagne,Natation,100 brasse,false,13,3,8
2032,Australie,Sasaki,Naoki,F,USA,Escrime,Escrime,false,10,5,5
2024,France,Schneider,Luisa,F,USA,Athletisme,Athletisme,false,2,9,20
2028,Etats-Unis,Schmidt,Mia,M,Allemagne,Escrime,Escrime,false,16,7,3
2024,France,Yamaguchi,Yui,F,Kenya,Escrime,Escrime,false,3,16,18
2032,Australie,Köhler,Leon,F,Brésil,Natation,100 brasse,false,8,5,15
2028,Etats-Unis,Ma,Wei,F,France,Handball,Handball,true,8,8,7
2024,France,Goto,Naoki,M,Brésil,Athletisme,Athletisme,false,14,18,14
2024,France,Zhu,Hong,M,Maroc,Natation,100 brasse,false,1,17,1
2028,Etats-Unis,Robin,Manon,M,USA,Natation,100 brasse,false,9,15,7
2024,France,Li,Fang,F,USA,HandBall,HandBall,false,6,9,2
2032,Australie,Durand,Alice,F,Japon,HandBall,HandBall,false,5,16,1
2028,Etats-Unis,Ishii,Asuka,M,France,Escrime,Escrime,false,14,10,20
2024,France,Michel,Clara,M,Australie,Athletisme,Athletisme,false,3,9,3
2028,Etats-Unis,Lin,Wei,F,Japon,Handball,Handball,true,3,1,19
2028,Etats-Unis,Michel,Arthur,F,Australie,HandBall,HandBall,false,20,1,9
2024,France,Braun,Elias,F,Maroc,Escrime,Escrime,false,14,12,12
2028,Etats-Unis,Chen,Jun,M,Maroc,HandBall,HandBall,false,6,7,17
2028,Etats-Unis,Blanc,Anna,M,Kenya,generic,generic,false,17,2,16
2024,France,Garcia,Clara,M,France,HandBall,HandBall,false,20,11,5
2032,Australie,Krüger,Johanna,M,Brésil,generic,generic,false,1,2,15
2028,Etats-Unis,Yoshida,Haruka,F,Allemagne,Handball,Handball,true,14,7,16
2024,France,Huang,Huang,M,Brésil,Natation,100 brasse,false,6,20,19
2024,France,Shimizu,Rina,F,Maroc,Natation,100 brasse,false,3,7,3
2024,France,Shibata,Hiroshi,F,Kenya,generic,generic,false,7,8,6
2024,France,Ito,Yuto,M,Turquie,Natation,100 brasse,false,7,8,2
2028,Etats-Unis,Wu,Wu,F,Allemagne,Handball,Handball,true,12,19,17
2024,France,Yamaguchi,Yuki,M,Turquie,Escrime,Escrime,false,8,5,6
2024,France,Sasaki,Yusuke,M,Japon,Natation,ralais libre,false,7,2,9
2028,Etats-Unis,Perez,Tom,M,Maroc,HandBall,HandBall,false,6,17,6
2028,Etats-Unis,Mercier,Nolan,F,Brésil,Escrime,Escrime,false,12,19,18
2032,Australie,Blanc,Louis,M,USA,HandBall,HandBall,false,7,11,8
2028,Etats-Unis,Lefevre,Nathan,M,Maroc,Escrime,Escrime,false,11,4,11
2032,Australie,Wolf,Emily,F,Brésil,Escrime,Escrime,false,1,10,19
2028,Etats-Unis,Zhu,Hui,M,USA,Handball,Handball,true,18,3,20
2028,Etats-Unis,Lambert,Nathan,F,Kenya,generic,generic,false,5,5,7
2028,Etats-Unis,Maeda,Yui,M,Japon,generic,generic,false,5,12,11
2024,France,Kobayashi,Rina,M,Brésil,Handball,Handball,true,20,3,15
2024,France,Simon,Emma,M,Turquie,Handball,Handball,true,9,14,7
2028,Etats-Unis,Ogawa,Yuna,F,Kenya,Athletisme,Athletisme,false,7,3,15
2032,Australie,Kato,Yuna,M,Allemagne,HandBall,HandBall,false,14,5,17
2028,Etats-Unis,Liu,Yang,F,Kenya,Escrime,Escrime,false,10,1,12
2028,Etats-Unis,Robin,Clara,M,Turquie,HandBall,HandBall,false,19,17,20
2024,France,Laurent,Théo,F,Australie,Natation,100 brasse,false,19,13,5
2028,Etats-Unis,Inoue,Takeshi,M,Turquie,Handball,Handball,true,13,6,3
2028,Etats-Unis,Ogawa,Yuna,M,Japon,Natation,100 brasse,false,17,14,14
2028,Etats-Unis,Yoshida,Kokoro,F,Brésil,Athletisme,Athletisme,false,8,9,10
2032,Australie,Suzuki,Mio,M,USA,Natation,ralais libre,false,10,19,17
2028,Etats-Unis,Shibata,Riku,M,Maroc,Escrime,Escrime,false,8,8,5
2032,Australie,Simon,Sacha,F,Brésil,generic,generic,false,11,13,6
2032,Australie,Lange,Julian,F,France,Escrime,Escrime,false,4,1,16
2028,Etats-Unis,Sakai,Yui,M,France,HandBall,HandBall,false,13,16,20
2028,Etats-Unis,Guo,Hu,M,Maroc,generic,generic,false,14,3,19
2024,France,Guo,Wei,M,Australie,generic,generic,false,10,9,5
2028,Etats-Unis,Sasaki,Mio,M,Allemagne,Handball,Handball,true,11,14,13
2024,France,Zhou,Yan,M,Allemagne,Handball,Handball,true,2,4,12
